ts,sensor_id,pm25,pm10,no2,o3,so2,co,nh3,c6h6,temp,hum
2026-01-01T03:00,22,0.7,13.6,33.9,0.0,3.8,0.359,0.0,0.7,6.8,80
2026-01-01T04:00,22,1.0,15.5,40.5,0.0,3.8,0.385,0.0,0.8,6.9,83
2026-01-01T05:00,22,1.3,19.2,52.4,0.0,3.7,0.548,0.0,1.1,7.5,75
2026-01-01T06:00,22,2.5,23.2,72.4,0.0,4.4,0.695,0.0,1.5,8.6,76
2026-01-01T07:00,22,3.2,30.4,100.6,0.0,4.8,1.034,0.0,1.8,9.4,75
2026-01-01T08:00,22,3.8,28.5,106.9,0.0,4.7,0.939,0.0,1.9,9.4,70
2026-01-01T09:00,22,3.6,24.5,73.7,0.0,4.4,0.739,0.0,1.4,10.5,67
2026-01-01T10:00,22,3.7,19.4,64.8,0.0,4.1,0.617,0.0,1.2,11.8,67
2026-01-01T11:00,22,3.5,18.0,54.6,0.0,4.2,0.585,0.0,1.0,13.0,64
2026-01-01T12:00,22,3.8,19.1,53.4,0.0,4.8,0.538,0.0,0.9,12.9,68
2026-01-01T13:00,22,4.3,17.4,56.0,0.0,3.9,0.591,0.0,1.0,13.5,63
2026-01-01T14:00,22,4.5,17.9,54.7,0.0,4.6,0.55,0.0,1.0,13.5,62
2026-01-01T15:00,22,6.2,18.7,58.6,0.0,4.2,0.626,0.0,1.0,13.7,61
2026-01-01T16:00,22,7.1,21.6,69.9,0.0,4.3,0.77,0.0,1.3,12.0,66
2026-01-01T17:00,22,8.2,24.6,80.3,0.0,4.4,0.914,0.0,1.6,12.1,65
2026-01-01T18:00,22,7.9,21.3,73.9,0.0,4.0,0.863,0.0,1.3,11.6,71
2026-01-01T19:00,22,7.4,17.0,60.1,0.0,3.8,0.752,0.0,1.1,10.6,70
2026-01-01T20:00,22,6.3,15.8,49.0,0.0,3.8,0.604,0.0,0.8,9.8,68
2026-01-01T21:00,22,6.2,12.8,41.4,0.0,4.1,0.469,0.0,0.6,8.9,75
2026-01-01T22:00,22,5.3,12.5,35.9,0.0,3.6,0.409,0.0,0.6,8.5,78
2026-01-01T23:00,22,5.3,11.7,32.9,0.0,3.4,0.408,0.0,0.6,7.7,79
2026-01-01T00:00,37,8.1,10.4,16.0,0.0,5.4,0.333,0.0,0.7,7.4,79
2026-01-01T01:00,37,6.9,9.9,13.9,0.0,4.8,0.268,0.0,0.5,6.2,80
2026-01-01T02:00,37,6.9,8.5,14.1,0.0,5.0,0.254,0.0,0.5,6.3,80
2026-01-01T03:00,37,6.9,8.1,13.2,0.0,5.1,0.298,0.0,0.5,6.5,82
2026-01-01T04:00,37,7.2,9.6,14.7,0.0,4.6,0.321,0.0,0.5,6.8,79
2026-01-01T05:00,37,8.6,11.4,21.4,0.0,5.1,0.451,0.0,0.8,7.7,74
2026-01-01T06:00,37,10.7,16.4,28.6,0.0,5.2,0.609,0.0,1.1,8.1,77
2026-01-01T07:00,37,14.1,19.4,45.8,0.0,5.5,0.844,0.0,1.4,9.4,74
2026-01-01T08:00,37,12.3,17.9,44.8,0.0,6.3,0.803,0.0,1.3,9.9,71
2026-01-01T09:00,37,10.3,13.9,30.9,0.0,6.0,0.639,0.0,1.0,10.5,70
2026-01-01T10:00,37,8.4,13.3,27.3,0.0,6.0,0.529,0.0,0.9,11.5,67
2026-01-01T11:00,37,8.1,11.6,23.5,0.0,5.3,0.476,0.0,0.8,13.1,64
2026-01-01T12:00,37,7.5,12.1,22.3,0.0,5.0,0.448,0.0,0.7,12.4,62
2026-01-01T13:00,37,7.0,11.2,24.8,0.0,4.8,0.464,0.0,0.7,13.1,62
2026-01-01T14:00,37,7.9,11.3,24.6,0.0,4.4,0.468,0.0,0.7,13.0,61
2026-01-01T15:00,37,8.0,12.4,24.1,0.0,3.8,0.541,0.0,0.7,13.8,63
2026-01-01T16:00,37,8.8,14.2,30.5,0.0,4.0,0.626,0.0,0.9,12.9,63
2026-01-01T17:00,37,10.8,17.8,39.3,0.0,4.3,0.825,0.0,1.1,12.4,64
2026-01-01T18:00,37,8.6,14.6,33.4,0.0,3.3,0.723,0.0,0.9,11.8,67
2026-01-01T19:00,37,6.5,10.6,30.0,0.0,3.6,0.573,0.0,0.7,11.0,74
2026-01-01T20:00,37,5.7,9.5,21.3,0.0,3.2,0.486,0.0,0.7,9.9,72
2026-01-01T21:00,37,4.6,8.9,19.1,0.0,2.9,0.417,0.0,0.5,9.0,74
2026-01-01T22:00,37,4.0,8.4,15.6,0.0,3.1,0.332,0.0,0.4,8.2,74
2026-01-01T23:00,37,3.9,6.6,15.6,0.0,2.6,0.298,0.0,0.4,7.7,76
2026-01-01T00:00,38,15.1,19.3,18.5,37.2,9.6,0.0,0.0,0.0,7.0,78
2026-01-01T01:00,38,11.9,18.6,15.2,27.1,9.1,0.0,0.0,0.0,6.3,78
2026-01-01T02:00,38,12.2,16.3,13.5,27.8,9.3,0.0,0.0,0.0,6.7,76
2026-01-01T03:00,38,12.2,15.8,12.5,28.7,9.4,0.0,0.0,0.0,6.7,80
2026-01-01T04:00,38,13.8,16.9,13.5,36.5,9.7,0.0,0.0,0.0,6.9,80
2026-01-01T05:00,38,16.8,21.3,18.8,43.7,9.1,0.0,0.0,0.0,7.0,78
2026-01-01T06:00,38,21.7,26.6,28.1,63.7,10.3,0.0,0.0,0.0,8.9,73
2026-01-01T07:00,38,24.5,34.1,34.4,78.9,11.0,0.0,0.0,0.0,8.9,72
2026-01-01T08:00,38,21.2,30.5,38.2,107.2,11.5,0.0,0.0,0.0,10.1,71
2026-01-01T09:00,38,18.7,26.7,29.0,122.0,10.0,0.0,0.0,0.0,11.2,71
2026-01-01T10:00,38,15.1,23.2,21.5,127.5,9.9,0.0,0.0,0.0,11.3,68
2026-01-01T11:00,38,12.1,21.0,20.4,147.1,8.9,0.0,0.0,0.0,12.3,68
2026-01-01T12:00,38,11.8,18.0,18.2,159.8,9.3,0.0,0.0,0.0,12.5,67
2026-01-01T13:00,38,11.5,18.9,17.4,142.8,8.1,0.0,0.0,0.0,13.6,62
2026-01-01T14:00,38,11.5,18.6,18.6,146.4,6.4,0.0,0.0,0.0,13.4,63
2026-01-01T15:00,38,13.0,19.0,18.1,115.9,6.7,0.0,0.0,0.0,13.6,63
2026-01-01T16:00,38,15.0,23.9,21.3,100.7,6.2,0.0,0.0,0.0,13.2,66
2026-01-01T17:00,38,14.7,26.4,25.1,84.4,5.8,0.0,0.0,0.0,12.7,62
2026-01-01T18:00,38,12.2,21.2,26.7,73.2,5.2,0.0,0.0,0.0,12.2,70
2026-01-01T19:00,38,8.4,18.0,18.2,62.3,4.6,0.0,0.0,0.0,11.1,70
2026-01-01T20:00,38,7.7,14.9,14.4,54.7,4.3,0.0,0.0,0.0,10.7,74
2026-01-01T21:00,38,6.5,13.0,11.4,46.8,3.9,0.0,0.0,0.0,9.7,72
2026-01-01T22:00,38,5.5,11.2,9.0,35.7,3.3,0.0,0.0,0.0,8.1,79
2026-01-01T23:00,38,5.0,10.3,9.5,35.4,2.9,0.0,0.0,0.0,7.7,79
2026-01-02T00:00,19,3.8,9.4,18.3,0.0,3.7,0.266,0.0,0.0,6.8,81
2026-01-02T01:00,19,3.2,8.5,14.7,0.0,3.5,0.226,0.0,0.0,7.2,79
2026-01-02T02:00,19,3.3,8.8,13.3,0.0,3.2,0.198,0.0,0.0,6.1,81
2026-01-02T03:00,19,3.2,9.1,12.9,0.0,3.6,0.223,0.0,0.0,6.8,77
2026-01-02T04:00,19,3.5,9.8,14.6,0.0,3.3,0.221,0.0,0.0,6.9,78
2026-01-02T05:00,19,4.6,13.4,20.0,0.0,3.8,0.333,0.0,0.0,7.8,82
2026-01-02T06:00,19,6.0,18.5,29.5,0.0,4.2,0.461,0.0,0.0,8.2,76
2026-01-02T07:00,19,8.5,23.4,42.9,0.0,4.1,0.622,0.0,0.0,8.7,74
2026-01-02T08:00,19,6.9,24.0,40.6,0.0,4.6,0.557,0.0,0.0,9.7,71
2026-01-02T09:00,19,6.2,22.1,27.2,0.0,4.7,0.473,0.0,0.0,10.8,67
2026-01-02T10:00,19,5.5,19.1,23.4,0.0,4.7,0.402,0.0,0.0,11.6,67
2026-01-02T11:00,19,5.8,17.7,22.4,0.0,4.6,0.335,0.0,0.0,13.4,66
2026-01-02T12:00,19,4.8,20.1,21.9,0.0,4.7,0.306,0.0,0.0,12.8,69
2026-01-02T13:00,19,5.0,19.0,20.3,0.0,4.7,0.339,0.0,0.0,13.1,65
2026-01-02T14:00,19,5.7,20.5,22.4,0.0,3.7,0.324,0.0,0.0,13.4,62
2026-01-02T15:00,19,5.8,23.2,22.1,0.0,4.0,0.351,0.0,0.0,12.7,68
2026-01-02T16:00,19,8.0,29.7,27.1,0.0,4.1,0.424,0.0,0.0,13.3,64
2026-01-02T17:00,19,8.2,34.5,34.2,0.0,4.1,0.466,0.0,0.0,11.4,64
2026-01-02T18:00,19,6.9,29.0,26.0,0.0,4.0,0.487,0.0,0.0,11.5,67
2026-01-02T19:00,19,6.0,22.5,20.2,0.0,4.0,0.41,0.0,0.0,10.5,69
2026-01-02T20:00,19,5.5,25.0,18.6,0.0,4.1,0.303,0.0,0.0,10.5,73
2026-01-02T21:00,19,5.2,20.3,14.1,0.0,3.7,0.271,0.0,0.0,9.3,72
2026-01-02T22:00,19,4.1,19.7,12.3,0.0,3.4,0.231,0.0,0.0,8.4,78
2026-01-02T23:00,19,4.7,19.4,10.3,0.0,3.0,0.189,0.0,0.0,7.6,75
2026-01-02T00:00,20,4.4,9.0,22.7,0.0,3.2,0.222,0.0,0.3,7.5,75
2026-01-02T01:00,20,3.8,8.1,19.3,0.0,3.2,0.155,0.0,0.2,6.2,77
2026-01-02T02:00,20,4.0,8.4,17.4,0.0,3.2,0.163,0.0,0.2,6.0,82
2026-01-02T03:00,20,3.6,8.2,18.2,0.0,3.2,0.156,0.0,0.2,6.4,82
2026-01-02T04:00,20,4.1,9.2,20.9,0.0,3.2,0.181,0.0,0.2,6.6,80
2026-01-02T05:00,20,5.6,12.0,24.4,0.0,3.1,0.244,0.0,0.3,6.7,76
2026-01-02T06:00,20,6.9,16.2,36.8,0.0,3.8,0.327,0.0,0.4,7.5,73
2026-01-02T07:00,20,9.5,21.5,49.8,0.0,4.1,0.454,0.0,0.6,9.8,71
2026-01-02T08:00,20,9.1,22.3,48.9,0.0,3.9,0.411,0.0,0.5,9.8,74
2026-01-02T09:00,20,7.3,20.3,40.0,0.0,3.7,0.333,0.0,0.4,10.3,68
2026-01-02T10:00,20,6.9,17.6,31.5,0.0,3.5,0.26,0.0,0.3,11.1,66
2026-01-02T11:00,20,6.1,17.4,28.5,0.0,3.5,0.254,0.0,0.3,11.7,65
2026-01-02T12:00,20,6.4,17.3,23.0,0.0,3.5,0.209,0.0,0.3,13.2,66
2026-01-02T13:00,20,5.7,17.9,26.3,0.0,3.5,0.212,0.0,0.3,13.2,62
2026-01-02T14:00,20,6.8,20.9,28.5,0.0,3.1,0.218,0.0,0.3,13.3,65
2026-01-02T15:00,20,7.1,22.2,25.2,0.0,3.0,0.254,0.0,0.3,13.0,63
2026-01-02T16:00,20,9.0,23.3,33.5,0.0,2.6,0.307,0.0,0.3,12.9,67
2026-01-02T17:00,20,10.3,32.4,39.1,0.0,2.7,0.363,0.0,0.4,12.4,65
2026-01-02T18:00,20,9.1,26.7,38.6,0.0,2.7,0.335,0.0,0.4,11.9,65
2026-01-02T19:00,20,8.1,22.9,28.8,0.0,2.3,0.264,0.0,0.3,11.0,66
2026-01-02T20:00,20,6.2,22.6,24.4,0.0,2.3,0.212,0.0,0.2,9.7,73
2026-01-02T21:00,20,5.9,19.5,18.2,0.0,2.1,0.169,0.0,0.2,9.4,70
2026-01-02T22:00,20,5.3,18.9,13.7,0.0,1.7,0.136,0.0,0.1,8.6,76
2026-01-02T23:00,20,5.0,17.4,14.9,0.0,1.9,0.148,0.0,0.1,7.7,76
2026-01-02T00:00,21,0.0,10.5,7.5,36.1,0.0,0.137,0.0,0.0,7.1,78
2026-01-02T01:00,21,0.0,8.6,5.7,26.0,0.0,0.124,0.0,0.0,6.7,80
2026-01-02T02:00,21,0.0,9.7,5.5,27.9,0.0,0.106,0.0,0.0,6.4,81
2026-01-02T03:00,21,0.0,10.5,5.7,27.9,0.0,0.122,0.0,0.0,6.3,78
2026-01-02T04:00,21,0.0,10.2,5.6,36.2,0.0,0.135,0.0,0.0,6.9,78
2026-01-02T05:00,21,0.0,13.1,7.9,54.6,0.0,0.168,0.0,0.0,7.3,74
2026-01-02T06:00,21,0.0,18.2,10.6,68.1,0.0,0.23,0.0,0.0,8.4,76
2026-01-02T07:00,21,0.0,27.0,17.0,82.7,0.0,0.325,0.0,0.0,8.7,73
2026-01-02T08:00,21,0.0,24.4,16.2,104.9,0.0,0.31,0.0,0.0,9.2,68
2026-01-02T09:00,21,0.0,24.3,13.5,130.9,0.0,0.245,0.0,0.0,10.3,69
2026-01-02T10:00,21,0.0,19.0,9.8,158.2,0.0,0.215,0.0,0.0,12.2,63
2026-01-02T11:00,21,0.0,19.4,8.9,149.7,0.0,0.188,0.0,0.0,12.2,68
2026-01-02T12:00,21,0.0,17.8,7.8,168.4,0.0,0.188,0.0,0.0,12.9,64
2026-01-02T13:00,21,0.0,19.6,7.6,159.5,0.0,0.191,0.0,0.0,13.6,64
2026-01-02T14:00,21,0.0,23.1,8.8,146.5,0.0,0.174,0.0,0.0,13.2,63
2026-01-02T15:00,21,0.0,25.4,7.8,126.4,0.0,0.205,0.0,0.0,13.6,63
2026-01-02T16:00,21,0.0,29.0,10.8,114.2,0.0,0.24,0.0,0.0,13.3,66
2026-01-02T17:00,21,0.0,33.3,12.2,93.2,0.0,0.345,0.0,0.0,12.3,66
2026-01-02T18:00,21,0.0,27.2,11.2,83.4,0.0,0.28,0.0,0.0,11.5,67
2026-01-02T19:00,21,0.0,26.1,9.7,69.8,0.0,0.248,0.0,0.0,10.4,68
2026-01-02T20:00,21,0.0,25.8,7.9,57.1,0.0,0.197,0.0,0.0,10.1,71
2026-01-02T21:00,21,0.0,21.6,5.4,45.7,0.0,0.159,0.0,0.0,9.0,70
2026-01-02T22:00,21,0.0,19.6,5.0,38.4,0.0,0.132,0.0,0.0,8.6,75
2026-01-02T23:00,21,0.0,18.0,5.3,39.0,0.0,0.138,0.0,0.0,7.5,78
2026-01-02T00:00,22,6.3,11.2,29.8,0.0,0.0,0.411,0.0,0.6,6.9,83
2026-01-02T01:00,22,5.6,10.4,25.9,0.0,0.0,0.34,0.0,0.5,6.5,82
2026-01-02T02:00,22,5.3,10.2,26.1,0.0,0.0,0.302,0.0,0.6,6.6,75
2026-01-02T03:00,22,5.3,11.1,22.9,0.0,0.0,0.32,0.0,0.7,7.2,76
2026-01-02T04:00,22,5.8,10.9,25.3,0.0,0.0,0.351,0.0,0.8,7.0,80
2026-01-02T05:00,22,6.9,14.9,34.5,0.0,0.0,0.484,0.0,1.2,7.1,79
2026-01-02T06:00,22,9.0,20.0,46.9,0.0,0.0,0.658,0.0,1.6,8.5,72
2026-01-02T07:00,22,11.5,29.0,67.4,0.0,0.0,0.947,0.0,2.7,9.7,76
2026-01-02T08:00,22,11.8,27.3,68.0,0.0,0.0,0.885,0.0,2.8,9.9,69
2026-01-02T09:00,22,9.3,23.4,52.2,0.0,0.0,0.631,0.0,2.1,10.7,74
2026-01-02T10:00,22,7.8,19.6,35.4,0.0,0.0,0.559,0.0,2.1,11.8,66
2026-01-02T11:00,22,8.0,20.9,32.0,0.0,0.0,0.476,0.0,1.9,11.8,65
2026-01-02T12:00,22,7.5,19.0,26.8,0.0,0.0,0.473,0.0,2.0,13.0,67
2026-01-02T13:00,22,7.5,19.7,30.2,0.0,0.0,0.465,0.0,2.2,12.8,64
2026-01-02T14:00,22,7.6,21.1,30.7,0.0,0.0,0.459,0.0,2.4,13.8,63
2026-01-02T15:00,22,8.7,24.6,32.2,0.0,0.0,0.46,0.0,2.6,13.2,64
2026-01-02T16:00,22,10.7,33.0,37.3,0.0,0.0,0.591,0.0,3.4,13.5,66
2026-01-02T17:00,22,11.8,36.7,45.2,0.0,0.0,0.731,0.0,4.3,12.8,68
2026-01-02T18:00,22,10.0,32.0,36.9,0.0,0.0,0.69,0.0,4.2,11.2,65
2026-01-02T19:00,22,8.3,28.3,33.4,0.0,0.0,0.571,0.0,3.9,10.6,74
2026-01-02T20:00,22,7.2,24.2,23.7,0.0,0.0,0.47,0.0,3.0,9.5,72
2026-01-02T21:00,22,6.3,22.9,17.5,0.0,0.0,0.307,0.0,2.8,9.6,76
2026-01-02T22:00,22,6.1,20.3,15.2,0.0,0.0,0.318,0.0,2.3,8.0,78
2026-01-02T23:00,22,5.8,19.9,12.8,0.0,0.0,0.252,0.0,2.5,8.1,77
2026-01-02T00:00,37,3.7,7.3,15.7,0.0,2.5,0.343,0.0,0.4,7.6,78
2026-01-02T01:00,37,3.2,6.3,12.2,0.0,2.7,0.304,0.0,0.3,6.3,80
2026-01-02T02:00,37,3.3,6.0,11.3,0.0,3.0,0.274,0.0,0.3,6.8,79
2026-01-02T03:00,37,3.1,7.1,12.6,0.0,2.4,0.241,0.0,0.3,6.8,78
2026-01-02T04:00,37,3.5,8.1,12.3,0.0,2.2,0.305,0.0,0.4,6.8,80
2026-01-02T05:00,37,4.7,10.8,18.6,0.0,2.9,0.438,0.0,0.5,7.3,77
2026-01-02T06:00,37,6.4,14.9,25.7,0.0,3.1,0.581,0.0,0.6,8.3,75
2026-01-02T07:00,37,7.8,19.9,32.2,0.0,3.5,0.79,0.0,0.9,8.7,73
2026-01-02T08:00,37,7.4,19.9,33.8,0.0,3.5,0.828,0.0,0.8,9.9,70
2026-01-02T09:00,37,6.3,18.7,25.8,0.0,3.8,0.65,0.0,0.7,11.9,68
2026-01-02T10:00,37,5.8,15.7,19.4,0.0,3.7,0.552,0.0,0.5,11.2,65
2026-01-02T11:00,37,5.0,16.8,16.7,0.0,3.4,0.455,0.0,0.5,12.3,64
2026-01-02T12:00,37,5.0,16.7,15.6,0.0,3.5,0.431,0.0,0.5,13.4,65
2026-01-02T13:00,37,5.0,15.6,15.8,0.0,3.2,0.49,0.0,0.4,13.5,68
2026-01-02T14:00,37,5.5,16.3,16.1,0.0,3.3,0.486,0.0,0.4,12.7,66
2026-01-02T15:00,37,5.5,17.3,16.7,0.0,3.3,0.567,0.0,0.5,13.4,64
2026-01-02T16:00,37,7.4,21.5,21.6,0.0,2.9,0.626,0.0,0.5,12.6,67
2026-01-02T17:00,37,7.8,28.1,25.0,0.0,3.4,0.756,0.0,0.7,12.0,66
2026-01-02T18:00,37,7.2,25.8,22.0,0.0,2.9,0.667,0.0,0.6,11.4,68
2026-01-02T19:00,37,6.3,20.9,18.2,0.0,2.7,0.586,0.0,0.6,11.0,71
2026-01-02T20:00,37,5.9,20.2,12.6,0.0,2.7,0.44,0.0,0.4,10.4,69
2026-01-02T21:00,37,5.1,17.5,11.0,0.0,2.9,0.343,0.0,0.4,9.6,73
2026-01-02T22:00,37,4.3,18.2,9.4,0.0,2.5,0.328,0.0,0.3,8.7,77
2026-01-02T23:00,37,4.4,15.9,8.0,0.0,2.6,0.337,0.0,0.3,7.9,78
2026-01-02T00:00,38,4.7,9.4,8.5,0.0,2.7,0.0,0.0,0.0,6.8,78
2026-01-02T01:00,38,4.1,9.1,7.1,0.0,2.4,0.0,0.0,0.0,6.8,78
2026-01-02T02:00,38,3.9,9.1,7.3,0.0,2.5,0.0,0.0,0.0,6.7,82
2026-01-02T03:00,38,4.1,9.3,6.9,0.0,2.3,0.0,0.0,0.0,6.2,84
2026-01-02T04:00,38,4.4,10.7,8.1,0.0,2.6,0.0,0.0,0.0,7.5,77
2026-01-02T05:00,38,5.6,13.8,10.9,0.0,2.6,0.0,0.0,0.0,7.9,76
2026-01-02T06:00,38,7.5,17.6,15.5,0.0,2.9,0.0,0.0,0.0,8.4,80
2026-01-02T07:00,38,10.3,24.0,23.0,0.0,3.2,0.0,0.0,0.0,9.0,71
